Product Name,Prices,Category,Type,Image URL(s),Stock Quantity,Description,Product Buy Link,Size/Color Variants,Gender
USOXO Football Athletic Socks,₹799,Clothing,Socks,https://assets.ajio.com/medias/sys_master/root/20250509/Bfy2/681d7cfd55340d4b4f264ce6/usoxo_blue_football_athletic_socks.jpg,236,High-performance socks with ribbed construction for grip and all-day comfort.,https://www.ajio.com/usoxo-football-athletic-socks/p/701473021_blue,blue,Men
Oomph Men Stud Earring,₹2399,Clothing,Earrings,https://assets.ajio.com/medias/sys_master/root/20241219/KkPW/67640a360f47f80c870eeb50/oomph_silver_men_stud_earring.jpg,310,Elegant silver-plated earrings with refined finish — perfect for everyday wear.,https://www.ajio.com/oomph-men-stud-earring/p/700945500_silver,silver,Men
Hoodler Men Floral Print Regular Fit Polo T-Shirt,₹2199,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20250127/GCfI/67971ee70431850e0dc8fcb3/hoodler_beige_men_floral_print_regular_fit_polo_t-shirt.jpg,186,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/hoodler-men-floral-print-regular-fit-polo-t-shirt/p/701111647_beige,beige,Men
BHRM Men Linked Chain Bracelet,₹1999,Clothing,Bracelets & Kadas,https://assets.ajio.com/medias/sys_master/root/20231211/1H3Z/6576fde3afa4cf41f5c4131c/bhrm_silver-toned_men_linked_chain_bracelet.jpg,257,Stylish bracelet with sturdy clasp — adds edge to any casual or formal outfit.,https://www.ajio.com/bhrm-men-linked-chain-bracelet/p/466868808_silver,silver,Men
Somvati Men Regular Fit Shirt with Spread Collar,₹1699,Clothing,Shirts,https://assets.ajio.com/medias/sys_master/root/20250321/8UW8/67dd6bf355340d4b4f7f0ca2/somvati_black_men_regular_fit_shirt_with_spread_collar.jpg,166,Classic regular-fit shirt with clean collar — versatile for both office and casual outings.,https://www.ajio.com/somvati-men-regular-fit-shirt-with-spread-collar/p/701363564_black,black,Men
Hoodler Women Regular Fit Polo T-Shirt,₹2199,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20250609/E2p3/684710047a6cd4182f944b21/hoodler_beige_women_regular_fit_polo_t-shirt.jpg,76,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/hoodler-women-regular-fit-polo-t-shirt/p/701387070_beige,beige,Men
MISCHIEF MONKEY Men Spread-Collar Regular Fit Shirt,₹4099,Clothing,Shirts,https://assets.ajio.com/medias/sys_master/root/20240129/0vHZ/65b6b9658cdf1e0df5d2cdbe/mischief_monkey_cream_men_spread-collar_regular_fit_shirt.jpg,109,Classic regular-fit shirt with clean collar — versatile for both office and casual outings.,https://www.ajio.com/mischief-monkey-men-spread-collar-regular-fit-shirt/p/467014749_cream,cream,Men
Hoodler Men Striped Regular Fit Crew-Neck T-Shirt,₹2199,Clothing,Tshirts,https://assets.ajio.com/medias/sys_master/root/20250409/AMNF/67f5cc2b55340d4b4fbf20f2/hoodler_black_men_striped_regular_fit_crew-neck_t-shirt.jpg,356,Comfortable everyday tee with relaxed fit and soft breathable fabric — perfect for casual wear.,https://www.ajio.com/hoodler-men-striped-regular-fit-crew-neck-t-shirt/p/701431311_brown,brown,Men
USOXO Set of 6 Men Striped Ankle-Length Socks,₹899,Clothing,Socks,https://assets.ajio.com/medias/sys_master/root/20250327/w3zv/67e4805055340d4b4f8e63af/usoxo_multicoloured_set_of_6_men_striped_ankle-length_socks.jpg,240,High-performance socks with ribbed construction for grip and all-day comfort.,https://www.ajio.com/usoxo-set-of-6-men-striped-ankle-length-socks-/p/701381387_multi,multi,Men
Zevora Men Autolock Buckle Belt,₹1799,Clothing,Belts,https://assets.ajio.com/medias/sys_master/root/20250217/8eVV/67b325ac2960820c4988e20a/zevora_black_men_autolock_buckle_belt.jpg,174,Sleek belt with premium buckle finish — a must-have accessory for a polished look.,https://www.ajio.com/zevora-men-autolock-buckle-belt/p/701218754_black,black,Men
BHRM Men Beaded Bracelet,₹2299,Clothing,Bracelets & Kadas,https://assets.ajio.com/medias/sys_master/root/20231219/3Obd/6581c621afa4cf41f5dbc4de/bhrm_brown_men_beaded_bracelet.jpg,179,Stylish bracelet with sturdy clasp — adds edge to any casual or formal outfit.,https://www.ajio.com/bhrm-men-beaded-bracelet/p/466898341_brown,brown,Men
